"order","action","status","severity","oldFlags","slotRole","oldType","relativeDifficulty","oldLevelId","oldAssetPath","oldWidth","oldHeight","oldChains","oldFill","oldOpeningMoves","oldOpeningGoodMoves","oldOpeningGoodMoveRatio","newLevelId","newKind","newPool","newTypeGuess","newShapeName","newWidth","newHeight","newChains","newFill","chainDelta","sourceAsset","destAsset","reason"
"21","replace","Green","0","None","FixedFront40","sweep","Normal","direct_diff120_15_direct_diff_refresh_near_square_stair_ladder_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_15_direct_diff_refresh_near_square_stair_ladder_g3_v04.asset","20","22","55","0.993","15","12","0.8","direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01","oldbase","DirectProcedural_big_pool","lock","","17","24","59","0.9754902","4","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01.asset","reduce_front40_high_opening_v9_alt"
"30","replace","Green","14","BottleneckHeavy","FixedFront40","lock","Normal","direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset","23","37","106","0.981","8","7","0.875","direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01","oldbase","DirectProcedural_big_pool","lock","","20","32","92","0.9875","-14","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01.asset","reduce_front40_high_opening"
"127","replace","Green","0","None","Shape","shape_character","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb04_19_large_tent","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L127_tent_large.asset","44","38","98","0.499","11","10","0.909","r2_outer_strong_005_r2_006_a401_maskonlyb01_01_main_mushroom","shape","","shape","mushroom","34","34","96","0.96","-2","F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_01_main_mushroom_20260614_170705.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV8/shape_refresh_v8_L127_maskonlyb01_01_main_mushroom_20260614_170705.asset","reduce_high_opening_shape"
"128","replace","Green","0","None","Normal","lock","Normal","direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07.asset","18","35","79","0.984","15","12","0.8","direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01","oldbase","Campaign500_working_or_final","lock","","19","34","80","0.99071205","1","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01.asset","reduce_high_opening_normal"
"151","replace","Green","0","None","HoleRescue","hole_rescue","Mechanic","hole_proc_standard_23x28_mid_919895_23x28_c79","Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_919895_23x28_c79.asset","23","28","79","1","72","70","0.972","hole_candidate_054_std_30x30_lock","oldbase","Hole_old_pool","hole","","30","30","84","0.9782609","5","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_054_std_30x30_lock.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_054_std_30x30_lock.asset","replace_high_opening_hole_v8_alt"
"165","replace","Green","0","None","Recovery","maze","Recovery","direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04.asset","19","31","77","0.986","15","13","0.867","direct_pure_normal_extra_02_24_direct_normal_pure_extra_rect_maze_long_chain_g20_v06","oldbase","Campaign500_working_or_final","maze","","19","35","86","0.9849624","9","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_24_direct_normal_pure_extra_rect_maze_long_chain_g20_v06.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_24_direct_normal_pure_extra_rect_maze_long_chain_g20_v06.asset","reduce_high_opening_recovery"
"167","replace","Green","0","None","HoleRescue","hole_rescue","Mechanic","hole_topup_043_topup_wide_26x22_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_043_topup_wide_26x22_maze.asset","26","22","53","0.974","14","11","0.786","hole_candidate_021_std_22x26_lock","oldbase","Hole_old_pool","hole","","22","26","53","0.97","0","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_021_std_22x26_lock.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_021_std_22x26_lock.asset","replace_high_opening_hole"
"190","replace","Green","0","None","Normal","section","Normal","direct_polish_clean_01_direct_polish_normal_rect_section_unlock_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_01_direct_polish_normal_rect_section_unlock_g0_v01.asset","20","36","112","0.974","20","15","0.75","direct_normal_topup_54_direct_normal_topup_rect_stair_push_g6_v07","oldbase","Campaign500_working_or_final","section","","23","39","113","0.9788183","1","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_54_direct_normal_topup_rect_stair_push_g6_v07.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_54_direct_normal_topup_rect_stair_push_g6_v07.asset","reduce_high_opening_normal"
"205","replace","Green","0","None","Recovery","sweep","Recovery","direct_normal_131_direct_normal_rect_outer_shell_g1_v14","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_131_direct_normal_rect_outer_shell_g1_v14.asset","21","40","111","0.987","16","12","0.75","direct_normal_topup_24_direct_normal_topup_rect_sweep_g8_v03","oldbase","Campaign500_working_or_final","sweep","","21","39","109","0.986569","-2","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_24_direct_normal_topup_rect_sweep_g8_v03.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_24_direct_normal_topup_rect_sweep_g8_v03.asset","reduce_high_opening_recovery"
"262","replace","Green","0","None","Normal","dense","Normal","direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_20_direct_normal_pure_rect_dense_weave_g11_v06.asset","21","37","101","0.978","17","13","0.765","direct_normal_44_direct_normal_rect_dense_weave_g4_v05","oldbase","Campaign500_working_or_final","dense","","22","37","102","0.985258","1","F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_44_direct_normal_rect_dense_weave_g4_v05.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_44_direct_normal_rect_dense_weave_g4_v05.asset","reduce_high_opening_normal"
